X  Y  Z
16 11  4
16 11  3
16 11  2
16 12  2
15 12  2
15 13  2
15 13  1
15 12  1
16 12  1



18  2  8
18  2  7
19  2  7
19  3  7
19  3  6
20  3  6
20  3  5
19  3  5
19  3  4
18  3  4
18  3  5
18  4  5
18  5  5
18  5  4
18  5  3
18  6  3
18  7  3
18  7  4
17  7  4
17  6  4
16  6  4
16  5  4
17  5  4
17  5  3
16  5  3
15  5  3
14  5  3
14  6  3
14  6  2
14  7  2
14  8  2
15  8  2
15  9  2
15 10  2
15 11  2
15 11  1
16 11  1
16 11  0
16 12  0
16 13  0



7 15 16
7 14 16
7 13 16
7 13 15
7 14 15
8 14 15
8 13 15
8 12 15
8 11 15
9 11 15
9 12 15
10 12 15
11 12 15
11 11 15
10 11 15
10 10 15
10 10 16
10  9 16
10  9 17
10  8 17
9  8 17
9  9 17
8  9 17
8  9 18
7  9 18
7  9 17
7 10 17
8 10 17
8 10 16
8 10 15
8 10 14
8 10 13
8  9 13
8  8 13
8  7 13
8  7 14
8  7 15
7  7 15
6  7 15
6  7 14



6 12  5
7 12  5
7 12  4
8 12  4
8 13  4
8 14  4
9 14  4
9 14  5
9 15  5
10 15  5
11 15  5
12 15  5
12 16  5
12 16  4
13 16  4
14 16  4
14 15  4
13 15  4
13 14  4
14 14  4
14 14  3
14 14  2
14 13  2
14 13  1
14 12  1
14 11  1
14 11  0
14 12  0
13 12  0
13 11  0
13 10  0
14 10  0
15 10  0
15  9  0
15  8  0
15  8 -1
14  8 -1
14  7 -1
15  7 -1
15  7 -2



19 11  6
19 11  7
19 12  7
19 12  6
19 12  5
19 12  4
19 13  4
19 14  4
20 14  4
20 15  4
21 15  4
22 15  4
23 15  4
24 15  4
24 15  5
24 14  5
24 13  5
24 13  6
24 14  6
23 14  6
23 14  7
23 13  7
22 13  7
21 13  7
21 13  8
22 13  8
22 12  8
22 12  9
23 12  9
23 13  9
23 13 10
22 13 10
22 13  9
21 13  9
21 14  9
21 14  8
21 15  8
21 16  8
22 16  8
22 16  9



3 17  7
4 17  7
4 16  7
4 16  8
4 15  8
5 15  8
5 15  9
5 16  9
5 16  8
5 17  8
5 17  7
5 16  7
6 16  7
6 15  7
6 14  7
7 14  7
7 13  7
7 12  7
8 12  7
8 13  7
9 13  7
9 12  7
9 11  7
9 10  7
9 10  8
10 10  8
10 10  7
10  9  7
9  9  7
9  8  7
9  7  7
9  7  8
9  6  8
10  6  8
10  6  9
10  6 10
10  5 10
9  5 10
8  5 10
8  4 10



11  5 19
11  6 19
10  6 19
10  6 18
10  5 18
11  5 18
12  5 18
12  6 18
12  6 17
12  5 17
12  4 17
12  4 18
13  4 18
14  4 18
14  5 18
14  5 19
13  5 19
12  5 19
12  4 19
12  3 19
11  3 19
11  3 20
10  3 20
10  3 21
10  3 22
10  4 22
9  4 22
9  5 22
8  5 22
7  5 22
7  5 21
7  6 21
6  6 21
5  6 21
5  5 21
4  5 21
3  5 21
3  5 22
3  6 22
3  6 21



14  3 11
13  3 11
13  3 12
14  3 12
14  4 12
13  4 12
13  5 12
13  5 11
13  6 11
13  7 11
13  7 12
13  7 13
13  7 14
13  7 15
13  7 16
14  7 16
14  6 16
14  6 17
14  5 17
14  5 16
15  5 16
16  5 16
16  6 16
16  7 16
16  8 16
16  8 15
16  8 14
15  8 14
15  7 14
15  7 13
15  6 13
15  6 14
14  6 14
14  6 13
13  6 13
13  6 12
14  6 12
15  6 12
15  7 12
16  7 12



6  6 14
6  5 14
6  5 15
5  5 15
5  5 16
5  5 17
6  5 17
7  5 17
8  5 17
9  5 17
9  4 17
9  4 16
10  4 16
11  4 16
12  4 16
13  4 16
13  4 15
13  3 15
13  3 14
14  3 14
14  3 15
14  2 15
14  2 14
14  1 14
13  1 14
13  1 13
14  1 13
14  1 12
14  1 11
13  1 11
13  0 11
13  0 10
13  1 10
13  1  9
13  0  9
13 -1  9
14 -1  9
15 -1  9
15 -2  9
16 -2  9



19 11 10
19 11 11
19 10 11
19 10 10
20 10 10
20 11 10
21 11 10
21 11  9
20 11  9
20 11  8
19 11  8
19 11  9
18 11  9
18 10  9
18 10 10
17 10 10
17 11 10
17 11  9
17 10  9
17  9  9
16  9  9
15  9  9
15  8  9
15  7  9
15  6  9
15  5  9
15  5  8
15  6  8
15  7  8
15  8  8
15  9  8
16  9  8
17  9  8
17  9  7
17 10  7
17 11  7
17 12  7
17 12  6
17 13  6
16 13  6



17 13 11
17 12 11
17 12 12
16 12 12
16 13 12
16 13 11
16 12 11
15 12 11
15 12 12
15 12 13
15 11 13
14 11 13
13 11 13
13 11 12
13 11 11
13 10 11
12 10 11
12  9 11
12  9 10
12  9  9
11  9  9
11  8  9
10  8  9
10  9  9
10  9  8
9  9  8
